user_id,total_actions,unique_resources,avg_resource_risk,avg_action_risk,avg_time_risk,failed_actions,night_accesses,weekend_accesses,username,email,department,job_title,privilege_level,systems_access,last_login,days_inactive,is_active,hire_date,privilege_risk,risk_score_raw,risk_score,actual_label,anomaly,anomaly_score,insider_threat_flag
USR00040,18,8,2.5,3.111111111111111,1.4444444444444444,0,6,3,nicholas.romano,nicholas.romano@company.com,Security,Officer,power-user,EMAIL|VPN,2026-02-27,52,True,2023-12-02,2,4.591666666666667,0.8253482840638802,HIGH_RISK,-1,0.5921994989478204,HIGH_RISK
USR00084,7,4,1.8571428571428572,3.2857142857142856,1.4285714285714286,0,2,0,aditya.gupta,aditya.gupta@company.com,Engineering,Analyst,admin,Okta|Salesforce|ServiceNow|EMAIL|Azure_AD|AWS_IAM,2026-02-20,59,True,2023-06-17,4,5.121428571428572,0.9765545361875636,HIGH_RISK,-1,0.5884490744804625,HIGH_RISK
USR00088,18,6,1.8888888888888888,2.4444444444444446,1.6111111111111112,0,5,1,william.jang,william.jang@company.com,Engineering,Engineer,admin,ServiceNow|VPN|EMAIL|AD,2026-03-15,36,True,2024-10-14,4,3.8055555555555554,0.6009740627477629,NORMAL,-1,0.587093937238159,HIGH_RISK
USR00090,14,8,2.2857142857142856,3.357142857142857,1.2142857142857142,1,1,5,neha.o'brien,neha.o'brien@company.com,Finance,Officer,admin,Azure_AD|VPN|AD|PROD_DB,2026-02-22,57,True,2024-07-03,4,5.203571428571429,1.0,HIGH_RISK,-1,0.5622410147926145,HIGH_RISK
USR00089,7,5,2.5714285714285716,4.0,0.8571428571428571,0,0,1,isha.chen,isha.chen@company.com,Compliance,Coordinator,service-account,Salesforce|ServiceNow,2026-04-02,18,True,2025-06-09,5,3.464285714285714,0.5035677879714575,NORMAL,-1,0.5481287063556332,HIGH_RISK
USR00068,7,4,1.8571428571428572,3.2857142857142856,0.2857142857142857,1,0,0,robert.patel,robert.patel@company.com,Support,Lead,admin,ADMIN_SYS|PROD_DB|AWS_IAM|Salesforce|EMAIL,2026-04-13,7,True,2024-10-25,4,2.392857142857143,0.19775739041794077,NORMAL,-1,0.543469442637394,HIGH_RISK
USR00016,11,7,1.8181818181818181,3.3636363636363638,0.9090909090909091,1,0,4,elena.dubois,elena.dubois@company.com,IT,Specialist,user,Azure_AD,2026-03-19,32,True,2024-12-06,1,3.327272727272727,0.4644611250115835,NORMAL,-1,0.5417876310878553,HIGH_RISK
USR00052,7,5,2.7142857142857144,3.5714285714285716,1.1428571428571428,0,2,0,leila.sun,leila.sun@company.com,Engineering,Administrator,user,AD,2026-02-26,53,True,2024-04-05,1,4.6000000000000005,0.8277268093781855,HIGH_RISK,-1,0.5359377770013882,HIGH_RISK
USR00060,12,6,2.6666666666666665,2.8333333333333335,0.75,2,1,2,vikram.gonzalez,vikram.gonzalez@company.com,Sales,Developer,power-user,EMAIL|AD|ADMIN_SYS|VPN,2026-04-16,4,True,2022-06-14,2,2.225,0.1498470948012232,NORMAL,-1,0.5307511060160881,HIGH_RISK
USR00034,17,9,2.0,2.411764705882353,1.1176470588235294,1,1,1,harsh.jones,harsh.jones@company.com,Operations,Specialist,service-account,EMAIL|AWS_IAM,2026-03-08,43,True,2024-10-23,5,4.326470588235294,0.7496552137674639,NORMAL,-1,0.5247866036421287,HIGH_RISK
USR00027,8,6,1.75,2.875,0.875,1,1,0,pooja.sullivan,pooja.sullivan@company.com,Support,Lead,admin,VPN|Salesforce|AWS_IAM|ADMIN_SYS|SIEM|Azure_AD|ServiceNow,2026-03-17,34,True,2024-02-21,4,3.73125,0.5797655453618755,NORMAL,1,0.5239256598996768,NORMAL
USR00032,13,8,2.5384615384615383,2.3846153846153846,1.3846153846153846,0,4,2,pooja.martin,pooja.martin@company.com,Support,Coordinator,user,SIEM|AWS_IAM,2026-04-07,13,True,2023-06-21,1,2.3076923076923075,0.17344938445855856,NORMAL,1,0.523450427334756,NORMAL
USR00059,13,6,2.3846153846153846,2.923076923076923,1.0769230769230769,0,0,4,thomas.lewis,thomas.lewis@company.com,Finance,Director,power-user,ServiceNow|EMAIL|SIEM|Azure_AD,2026-02-21,58,True,2024-08-12,2,4.742307692307692,0.8683447032070883,HIGH_RISK,1,0.520994580672218,NORMAL
USR00043,5,4,2.0,2.0,1.0,1,1,0,matthew.bernard,matthew.bernard@company.com,Operations,Coordinator,power-user,GCP|AD|SIEM|Okta,2026-03-18,33,True,2024-11-02,2,3.25,0.44240570846075417,NORMAL,1,0.5199910114588364,NORMAL
USR00099,8,5,2.375,2.625,1.25,1,2,0,maria.bianchi,maria.bianchi@company.com,Marketing,Officer,service-account,ADMIN_SYS,2026-03-11,40,True,2025-10-01,5,4.35,0.7563710499490313,NORMAL,1,0.5192146600502192,NORMAL
USR00011,20,10,2.0,2.75,0.65,0,1,1,maria.o'brien,maria.o'brien@company.com,Security,Administrator,user,SIEM,2026-04-04,16,True,2025-09-10,1,2.2675,0.16197757390417927,NORMAL,1,0.5186613183642327,NORMAL
USR00058,5,5,2.2,1.8,0.4,1,0,1,anthony.taylor,anthony.taylor@company.com,Finance,Administrator,user,AD,2026-02-28,51,True,2024-07-06,1,3.8800000000000003,0.6222222222222222,NORMAL,1,0.5182910259989965,NORMAL
USR00015,11,7,2.4545454545454546,2.6363636363636362,0.45454545454545453,2,1,0,sophia.white,sophia.white@company.com,Security,Developer,admin,Okta|SIEM|Azure_AD|ServiceNow|AWS_IAM|VPN|ADMIN_SYS,2026-03-27,24,True,2025-10-04,4,3.3636363636363638,0.47484014456491513,NORMAL,1,0.5179812407669361,NORMAL
USR00002,11,7,2.272727272727273,2.3636363636363638,1.3636363636363635,0,3,0,kenneth.moore,kenneth.moore@company.com,Sales,Architect,service-account,EMAIL|PROD_DB,2026-04-07,13,True,2025-12-07,5,2.8318181818181816,0.32304698359744216,NORMAL,1,0.5176882708415103,NORMAL
USR00078,11,8,1.9090909090909092,3.0,0.2727272727272727,1,1,0,christopher.menon,christopher.menon@company.com,Executive,Officer,service-account,Azure_AD,2026-03-29,22,True,2023-01-02,5,3.231818181818182,0.4372161986840885,NORMAL,1,0.5160165745024948,NORMAL
USR00035,14,7,2.4285714285714284,3.7142857142857144,0.7857142857142857,1,1,2,nikhil.rao,nikhil.rao@company.com,Executive,Lead,admin,PROD_DB|EMAIL|ServiceNow|SIEM|Salesforce|AD,2026-02-23,56,True,2025-07-05,4,5.192857142857143,0.9969418960244647,HIGH_RISK,1,0.5152253629869045,NORMAL
USR00001,19,8,2.263157894736842,2.473684210526316,0.8421052631578947,1,4,2,daniel.singh,daniel.singh@company.com,Compliance,Lead,user,Azure_AD|Salesforce,2026-03-31,20,True,2024-04-04,1,2.6026315789473684,0.257631847202103,NORMAL,1,0.5144855008168306,NORMAL
USR00054,17,10,2.1176470588235294,2.823529411764706,0.8235294117647058,1,2,2,edward.smith,edward.smith@company.com,Support,Specialist,user,ADMIN_SYS,2026-04-08,12,True,2023-07-28,1,2.25,0.15698267074413857,NORMAL,1,0.5129329714702315,NORMAL
USR00063,13,7,2.3076923076923075,2.769230769230769,1.2307692307692308,0,2,3,daniel.colombo,daniel.colombo@company.com,Sales,Specialist,power-user,GCP|VPN,2026-02-27,52,True,2025-03-04,2,4.415384615384616,0.775033325492041,NORMAL,1,0.5100808399396607,NORMAL
USR00007,10,5,2.4,3.3,1.3,1,1,3,robert.smith,robert.smith@company.com,Operations,Lead,user,VPN|Okta,2026-03-07,44,True,2025-05-25,1,4.135,0.695005096839959,NORMAL,1,0.5098643168574172,NORMAL
USR00082,10,7,2.0,3.1,0.2,0,0,1,arjun.hwang,arjun.hwang@company.com,Legal,Manager,admin,PROD_DB|Okta|VPN|AD|GCP,2026-02-27,52,True,2024-09-21,4,4.515000000000001,0.8034658511722732,NORMAL,1,0.5091199050154255,NORMAL
